 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|     ver     | Date  | Time  |    Sequence                  | QP |  I4  |  I8  | I16  | IC0  | IC1  | IC2  | IC3  | PI4  | PI8  | PI16 |  P0  |  P1  |  P2  |  P3  | P1*4*| P1*8*| P2*4*| P2*8*| P3*4*| P3*8*|  P8  | P8:4 | P4*4*| P4*8*| P8:5 | P8:6 | P8:7 | BI4  | BI8  | BI16 |  B0  |  B1  |  B2  |  B3  | B0*4*| B0*8*| B1*4*| B1*8*| B2*4*| B2*8*| B3*4*| B3*8*|  B8  | B8:0 |B80*4*|B80*8*| B8:4 | B4*4*| B4*8*| B8:5 | B8:6 | B8:7 |
 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|19.0/(FRExt)| 09-De | 10:48 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:10 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:18 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:24 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:25 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:27 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:28 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:28 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:30 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:31 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:32 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:34 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:35 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:37 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:40 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:41 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 09-De | 11:42 |                 ./vid/box.yuv| 35 |   117|    75|   108|   203|   108|   130|    54|    39|    66|    90|  1438|   618|    96|   138|   235|   304|    44|    31|    53|    50|   215|   490|   434|    56|   125|   200|    45|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
