 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|            Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                                                                                                                                                                                              |
 --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|     ver     | Date  | Time  |    Sequence                  |Frm | QP |P/MbInt|   Bits   |  SNRY  |  SNRU  |  SNRV  |  I4  |  I8  | I16  | IC0  | IC1  | IC2  | IC3  | PI4  | PI8  | PI16 |  P0  |  P1  |  P2  |  P3  | P1*4*| P1*8*| P2*4*| P2*8*| P3*4*| P3*8*|  P8  | P8:4 | P4*4*| P4*8*| P8:5 | P8:6 | P8:7 | BI4  | BI8  | BI16 |  B0  |  B1  |  B2  |  B3  | B0*4*| B0*8*| B1*4*| B1*8*| B2*4*| B2*8*| B3*4*| B3*8*|  B8  | B8:0 |B80*4*|B80*8*| B8:4 | B4*4*| B4*8*| B8:5 | B8:6 | B8:7 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  0 | 25 |  0/0  |      9952| 41.7683| 44.1246| 45.4767|   185|    48|    67|   115|    87|    71|    27|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  1 | 25 |  0/0  |      7408| 41.1965| 43.6544| 44.6078|     0|     0|     0|    12|    10|     4|     1|     4|     7|    16|    49|   144|     6|    13|    16|   124|     1|     5|     2|    11|    61|   128|    96|    32|    38|    48|    30|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  2 | 25 |  0/0  |      8440| 41.2796| 43.4752| 44.5077|     0|     0|     0|    31|    21|     5|     0|     2|     0|    55|     0|   145|    25|     8|    12|   127|    11|    10|     2|     4|    65|   163|   115|    48|    19|    47|    31|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  3 | 25 |  0/0  |      8480| 41.1480| 42.9969| 44.1119|     0|     0|     0|     6|     1|     5|     0|     4|     4|     4|    77|   122|    11|    12|    23|    93|     2|     5|     8|     3|    66|   134|   106|    28|    43|    52|    35|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  4 | 25 |  0/0  |      7816| 41.0021| 42.5625| 43.6273|     0|     0|     0|     4|     1|     3|     2|     5|     0|     5|    61|   138|    19|    16|    26|    99|     4|    12|     6|    10|    56|   113|   109|     4|    27|    51|    33|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  5 | 25 |  0/0  |      7488| 40.9721| 42.4596| 43.5645|     0|     0|     0|     6|     3|     6|     0|    10|     2|     3|    89|   125|     8|    11|    33|    86|     4|     4|     7|     3|    52|    95|    87|     8|    43|    41|    29|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  6 | 25 |  0/0  |      8368| 40.8500| 42.0496| 43.3628|     0|     0|     0|     8|     4|     6|     6|    11|     6|     7|    70|   125|    13|    10|    34|    80|     8|     3|     5|     3|    58|   108|    92|    16|    41|    53|    30|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  7 | 25 |  0/0  |      7560| 41.0100| 42.1654| 43.3241|     0|     0|     0|    10|     2|     3|     6|    15|     4|     2|   108|    95|     9|    14|    37|    52|     2|     6|     5|     7|    53|   119|    95|    24|    23|    36|    34|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  8 | 25 |  0/0  |      8512| 40.9896| 42.2239| 43.3029|     0|     0|     0|    14|    12|    15|     5|    29|    11|     6|   116|    70|     4|    10|    31|    35|     1|     1|     2|     7|    54|    97|    89|     8|    31|    49|    39|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
|19.0/(FRExt)| 14-De | 13:04 |                 ./vid/box.yuv|  9 | 25 |  0/0  |      7672| 41.2168| 42.1614| 43.3515|     0|     0|     0|     7|     1|     3|     1|     6|     0|     6|   137|    60|    13|     9|    25|    32|     6|     4|     4|     2|    69|   144|   128|    16|    44|    52|    36|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0|     0| 0|     0|     0|     0|     0|     0|     0|     0|     0|
