These stats, other than Total, are cummulative over previous MBs within each Frame
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
   Frame  |   MB   |  Total  |   Type   |  P Motion  |  B Motion  |   cbp   |    C    |    y    |    Cb   |    Cr   | Delta quan | Stuffing |
 ---------|--------|---------|----------|------------|------------|---------|---------|---------|---------|---------|------------|----------|
       0  |     56 |      62 |     1578 |        0   |        0   |     234 |       0 |       0 |       0 |       0 |      57    |     0    |
       0  |     57 |      25 |     1593 |        0   |        0   |     243 |       0 |       0 |       0 |       0 |      58    |     0    |
       0  |     58 |       4 |     1596 |        0   |        0   |     243 |       0 |       0 |       0 |       0 |      59    |     0    |
       0  |     59 |      10 |     1602 |        0   |        0   |     246 |       0 |       0 |       0 |       0 |      60    |     0    |
       0  |     60 |      46 |     1644 |        0   |        0   |     249 |       0 |       0 |       0 |       0 |      61    |     0    |
       0  |     61 |      59 |     1701 |        0   |        0   |     250 |       0 |       0 |       0 |       0 |      62    |     0    |
       0  |     62 |      43 |     1734 |        0   |        0   |     259 |       0 |       0 |       0 |       0 |      63    |     0    |
       0  |     63 |      49 |     1779 |        0   |        0   |     262 |       0 |       0 |       0 |       0 |      64    |     0    |
       0  |     64 |      22 |     1797 |        0   |        0   |     265 |       0 |       0 |       0 |       0 |      65    |     0    |
       0  |     65 |      19 |     1812 |        0   |        0   |     268 |       0 |       0 |       0 |       0 |      66    |     0    |
       0  |     66 |      20 |     1824 |        0   |        0   |     275 |       0 |       0 |       0 |       0 |      67    |     0    |
       0  |     67 |      19 |     1839 |        0   |        0   |     278 |       0 |       0 |       0 |       0 |      68    |     0    |
       0  |     68 |      14 |     1851 |        0   |        0   |     279 |       0 |       0 |       0 |       0 |      69    |     0    |
       0  |     69 |      47 |     1896 |        0   |        0   |     280 |       0 |       0 |       0 |       0 |      70    |     0    |
       0  |     70 |      13 |     1905 |        0   |        0   |     283 |       0 |       0 |       0 |       0 |      71    |     0    |
       0  |     71 |      10 |     1911 |        0   |        0   |     286 |       0 |       0 |       0 |       0 |      72    |     0    |
       0  |     72 |      17 |     1920 |        0   |        0   |     293 |       0 |       0 |       0 |       0 |      73    |     0    |
       0  |     73 |      18 |     1932 |        0   |        0   |     298 |       0 |       0 |       0 |       0 |      74    |     0    |
       0  |     74 |      41 |     1965 |        0   |        0   |     305 |       0 |       0 |       0 |       0 |      75    |     0    |
       0  |     75 |      26 |     1983 |        0   |        0   |     312 |       0 |       0 |       0 |       0 |      76    |     0    |
       0  |     76 |      22 |     1995 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      77    |     0    |
       0  |     77 |       4 |     1998 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      78    |     0    |
       0  |     78 |       4 |     2001 |        0   |        0   |     321 |       0 |       0 |       0 |       0 |      79    |     0    |
       0  |     79 |      19 |     2010 |        0   |        0   |     330 |       0 |       0 |       0 |       0 |      80    |     0    |
       0  |     80 |      47 |     2055 |        0   |        0   |     331 |       0 |       0 |       0 |       0 |      81    |     0    |
       0  |     81 |      40 |     2091 |        0   |        0   |     334 |       0 |       0 |       0 |       0 |      82    |     0    |
       0  |     82 |      30 |     2115 |        0   |        0   |     339 |       0 |       0 |       0 |       0 |      83    |     0    |
       0  |     83 |      10 |     2121 |        0   |        0   |     342 |       0 |       0 |       0 |       0 |      84    |     0    |
       0  |     84 |      53 |     2166 |        0   |        0   |     349 |       0 |       0 |       0 |       0 |      85    |     0    |
       0  |     85 |      46 |     2208 |        0   |        0   |     352 |       0 |       0 |       0 |       0 |      86    |     0    |
       0  |     86 |      45 |     2247 |        0   |        0   |     357 |       0 |       0 |       0 |       0 |      87    |     0    |
       0  |     87 |      41 |     2280 |        0   |        0   |     364 |       0 |       0 |       0 |       0 |      88    |     0    |
       0  |     88 |      44 |     2322 |        0   |        0   |     365 |       0 |       0 |       0 |       0 |      89    |     0    |
       0  |     89 |      41 |     2361 |        0   |        0   |     366 |       0 |       0 |       0 |       0 |      90    |     0    |
       0  |     90 |      16 |     2373 |        0   |        0   |     369 |       0 |       0 |       0 |       0 |      91    |     0    |
       0  |     91 |      46 |     2409 |        0   |        0   |     378 |       0 |       0 |       0 |       0 |      92    |     0    |
       0  |     92 |      35 |     2436 |        0   |        0   |     385 |       0 |       0 |       0 |       0 |      93    |     0    |
       0  |     93 |      58 |     2490 |        0   |        0   |     388 |       0 |       0 |       0 |       0 |      94    |     0    |
       0  |     94 |      49 |     2535 |        0   |        0   |     391 |       0 |       0 |       0 |       0 |      95    |     0    |
       0  |     95 |      48 |     2577 |        0   |        0   |     396 |       0 |       0 |       0 |       0 |      96    |     0    |
       0  |     96 |      18 |     2589 |        0   |        0   |     401 |       0 |       0 |       0 |       0 |      97    |     0    |
       0  |     97 |       4 |     2592 |        0   |        0   |     401 |       0 |       0 |       0 |       0 |      98    |     0    |
       0  |     98 |      16 |     2604 |        0   |        0   |     404 |       0 |       0 |       0 |       0 |      99    |     0    |
       0  |     99 |      31 |     2631 |        0   |        0   |     407 |       0 |       0 |       0 |       0 |     100    |     0    |
       0  |    100 |      44 |     2667 |        0   |        0   |     414 |       0 |       0 |       0 |       0 |     101    |     0    |
       0  |    101 |      41 |     2706 |        0   |        0   |     415 |       0 |       0 |       0 |       0 |     102    |     0    |
       0  |    102 |      24 |     2718 |        0   |        0   |     426 |       0 |       0 |       0 |       0 |     103    |     0    |
       0  |    103 |      34 |     2748 |        0   |        0   |     429 |       0 |       0 |       0 |       0 |     104    |     0    |
       0  |    104 |      55 |     2799 |        0   |        0   |     432 |       0 |       0 |       0 |       0 |     105    |     0    |
       0  |    105 |      41 |     2832 |        0   |        0   |     439 |       0 |       0 |       0 |       0 |     106    |     0    |
       0  |    106 |      31 |     2859 |        0   |        0   |     442 |       0 |       0 |       0 |       0 |     107    |     0    |
       0  |    107 |      62 |     2919 |        0   |        0   |     443 |       0 |       0 |       0 |       0 |     108    |     0    |
       0  |    108 |      59 |     2976 |        0   |        0   |     444 |       0 |       0 |       0 |       0 |     109    |     0    |
       0  |    109 |      20 |     2988 |        0   |        0   |     451 |       0 |       0 |       0 |       0 |     110    |     0    |
       0  |    110 |      44 |     3030 |        0   |        0   |     452 |       0 |       0 |       0 |       0 |     111    |     0    |
       0  |    111 |      41 |     3069 |        0   |        0   |     453 |       0 |       0 |       0 |       0 |     112    |     0    |
       0  |    112 |      50 |     3117 |        0   |        0   |     454 |       0 |       0 |       0 |       0 |     113    |     0    |
       0  |    113 |      59 |     3174 |        0   |        0   |     455 |       0 |       0 |       0 |       0 |     114    |     0    |
       0  |    114 |      50 |     3222 |        0   |        0   |     456 |       0 |       0 |       0 |       0 |     115    |     0    |
       0  |    115 |      48 |     3264 |        0   |        0   |     461 |       0 |       0 |       0 |       0 |     116    |     0    |
       0  |    116 |      11 |     3273 |        0   |        0   |     462 |       0 |       0 |       0 |       0 |     117    |     0    |
       0  |    117 |      34 |     3297 |        0   |        0   |     471 |       0 |       0 |       0 |       0 |     118    |     0    |
       0  |    118 |      32 |     3327 |        0   |        0   |     472 |       0 |       0 |       0 |       0 |     119    |     0    |
       0  |    119 |      47 |     3372 |        0   |        0   |     473 |       0 |       0 |       0 |       0 |     120    |     0    |
       0  |    120 |       8 |     3378 |        0   |        0   |     474 |       0 |       0 |       0 |       0 |     121    |     0    |
       0  |    121 |      37 |     3411 |        0   |        0   |     477 |       0 |       0 |       0 |       0 |     122    |     0    |
       0  |    122 |      50 |     3453 |        0   |        0   |     484 |       0 |       0 |       0 |       0 |     123    |     0    |
       0  |    123 |      16 |     3465 |        0   |        0   |     487 |       0 |       0 |       0 |       0 |     124    |     0    |
       0  |    124 |      22 |     3483 |        0   |        0   |     490 |       0 |       0 |       0 |       0 |     125    |     0    |
       0  |    125 |      46 |     3525 |        0   |        0   |     493 |       0 |       0 |       0 |       0 |     126    |     0    |
       0  |    126 |      56 |     3579 |        0   |        0   |     494 |       0 |       0 |       0 |       0 |     127    |     0    |
       0  |    127 |      67 |     3642 |        0   |        0   |     497 |       0 |       0 |       0 |       0 |     128    |     0    |
       0  |    128 |      17 |     3657 |        0   |        0   |     498 |       0 |       0 |       0 |       0 |     129    |     0    |
       0  |    129 |      21 |     3666 |        0   |        0   |     509 |       0 |       0 |       0 |       0 |     130    |     0    |
       0  |    130 |      14 |     3678 |        0   |        0   |     510 |       0 |       0 |       0 |       0 |     131    |     0    |
       0  |    131 |      19 |     3687 |        0   |        0   |     519 |       0 |       0 |       0 |       0 |     132    |     0    |
       0  |    132 |      56 |     3741 |        0   |        0   |     520 |       0 |       0 |       0 |       0 |     133    |     0    |
       0  |    133 |      62 |     3801 |        0   |        0   |     521 |       0 |       0 |       0 |       0 |     134    |     0    |
       0  |    134 |      37 |     3834 |        0   |        0   |     524 |       0 |       0 |       0 |       0 |     135    |     0    |
       0  |    135 |      49 |     3879 |        0   |        0   |     527 |       0 |       0 |       0 |       0 |     136    |     0    |
       0  |    136 |      37 |     3912 |        0   |        0   |     530 |       0 |       0 |       0 |       0 |     137    |     0    |
       0  |    137 |      14 |     3918 |        0   |        0   |     537 |       0 |       0 |       0 |       0 |     138    |     0    |
       0  |    138 |      16 |     3924 |        0   |        0   |     546 |       0 |       0 |       0 |       0 |     139    |     0    |
       0  |    139 |      13 |     3933 |        0   |        0   |     549 |       0 |       0 |       0 |       0 |     140    |     0    |
       0  |    140 |      34 |     3957 |        0   |        0   |     558 |       0 |       0 |       0 |       0 |     141    |     0    |
       0  |    141 |      34 |     3987 |        0   |        0   |     561 |       0 |       0 |       0 |       0 |     142    |     0    |
       0  |    142 |       8 |     3993 |        0   |        0   |     562 |       0 |       0 |       0 |       0 |     143    |     0    |
       0  |    143 |      43 |     4032 |        0   |        0   |     565 |       0 |       0 |       0 |       0 |     144    |     0    |
       0  |    144 |      47 |     4071 |        0   |        0   |     572 |       0 |       0 |       0 |       0 |     145    |     0    |
       0  |    145 |      19 |     4086 |        0   |        0   |     575 |       0 |       0 |       0 |       0 |     146    |     0    |
       0  |    146 |      59 |     4143 |        0   |        0   |     576 |       0 |       0 |       0 |       0 |     147    |     0    |
       0  |    147 |      19 |     4158 |        0   |        0   |     579 |       0 |       0 |       0 |       0 |     148    |     0    |
       0  |    148 |      11 |     4167 |        0   |        0   |     580 |       0 |       0 |       0 |       0 |     149    |     0    |
       0  |    149 |      17 |     4176 |        0   |        0   |     587 |       0 |       0 |       0 |       0 |     150    |     0    |
       0  |    150 |      18 |     4188 |        0   |        0   |     592 |       0 |       0 |       0 |       0 |     151    |     0    |
       0  |    151 |      22 |     4206 |        0   |        0   |     595 |       0 |       0 |       0 |       0 |     152    |     0    |
       0  |    152 |      23 |     4221 |        0   |        0   |     602 |       0 |       0 |       0 |       0 |     153    |     0    |
       0  |    153 |      50 |     4269 |        0   |        0   |     603 |       0 |       0 |       0 |       0 |     154    |     0    |
       0  |    154 |      19 |     4284 |        0   |        0   |     606 |       0 |       0 |       0 |       0 |     155    |     0    |
       0  |    155 |      34 |     4314 |        0   |        0   |     609 |       0 |       0 |       0 |       0 |     156    |     0    |
       0  |    156 |      20 |     4326 |        0   |        0   |     616 |       0 |       0 |       0 |       0 |     157    |     0    |
       0  |    157 |       4 |     4329 |        0   |        0   |     616 |       0 |       0 |       0 |       0 |     158    |     0    |
       0  |    158 |      19 |     4338 |        0   |        0   |     625 |       0 |       0 |       0 |       0 |     159    |     0    |
       0  |    159 |      22 |     4356 |        0   |        0   |     628 |       0 |       0 |       0 |       0 |     160    |     0    |
       0  |    160 |      38 |     4392 |        0   |        0   |     629 |       0 |       0 |       0 |       0 |     161    |     0    |
       0  |    161 |      31 |     4419 |        0   |        0   |     632 |       0 |       0 |       0 |       0 |     162    |     0    |
       0  |    162 |      35 |     4452 |        0   |        0   |     633 |       0 |       0 |       0 |       0 |     163    |     0    |
       0  |    163 |      34 |     4482 |        0   |        0   |     636 |       0 |       0 |       0 |       0 |     164    |     0    |
       0  |    164 |      40 |     4518 |        0   |        0   |     639 |       0 |       0 |       0 |       0 |     165    |     0    |
       0  |    165 |      52 |     4566 |        0   |        0   |     642 |       0 |       0 |       0 |       0 |     166    |     0    |
       0  |    166 |      40 |     4602 |        0   |        0   |     645 |       0 |       0 |       0 |       0 |     167    |     0    |
       0  |    167 |      49 |     4647 |        0   |        0   |     648 |       0 |       0 |       0 |       0 |     168    |     0    |
       0  |    168 |      14 |     4659 |        0   |        0   |     649 |       0 |       0 |       0 |       0 |     169    |     0    |
       0  |    169 |      37 |     4686 |        0   |        0   |     658 |       0 |       0 |       0 |       0 |     170    |     0    |
       0  |    170 |       6 |     4691 |        0   |        0   |     658 |       0 |       0 |       0 |       0 |     171    |     0    |
       0  |    171 |      19 |     4700 |        0   |        0   |     667 |       0 |       0 |       0 |       0 |     172    |     0    |
       0  |    172 |      20 |     4712 |        0   |        0   |     674 |       0 |       0 |       0 |       0 |     173    |     0    |
       0  |    173 |      17 |     4727 |        0   |        0   |     675 |       0 |       0 |       0 |       0 |     174    |     0    |
       0  |    174 |      50 |     4769 |        0   |        0   |     682 |       0 |       0 |       0 |       0 |     175    |     0    |
       0  |    175 |      32 |     4799 |        0   |        0   |     683 |       0 |       0 |       0 |       0 |     176    |     0    |
       0  |    176 |      16 |     4811 |        0   |        0   |     686 |       0 |       0 |       0 |       0 |     177    |     0    |
       0  |    177 |      13 |     4820 |        0   |        0   |     689 |       0 |       0 |       0 |       0 |     178    |     0    |
       0  |    178 |      50 |     4868 |        0   |        0   |     690 |       0 |       0 |       0 |       0 |     179    |     0    |
       0  |    179 |      58 |     4922 |        0   |        0   |     693 |       0 |       0 |       0 |       0 |     180    |     0    |
       0  |    180 |      44 |     4964 |        0   |        0   |     694 |       0 |       0 |       0 |       0 |     181    |     0    |
       0  |    181 |      49 |     5009 |        0   |        0   |     697 |       0 |       0 |       0 |       0 |     182    |     0    |
       0  |    182 |      49 |     5054 |        0   |        0   |     700 |       0 |       0 |       0 |       0 |     183    |     0    |
       0  |    183 |      15 |     5063 |        0   |        0   |     705 |       0 |       0 |       0 |       0 |     184    |     0    |
       0  |    184 |       6 |     5068 |        0   |        0   |     705 |       0 |       0 |       0 |       0 |     185    |     0    |
       0  |    185 |      13 |     5077 |        0   |        0   |     708 |       0 |       0 |       0 |       0 |     186    |     0    |
       0  |    186 |      16 |     5089 |        0   |        0   |     711 |       0 |       0 |       0 |       0 |     187    |     0    |
       0  |    187 |      64 |     5149 |        0   |        0   |     714 |       0 |       0 |       0 |       0 |     188    |     0    |
       0  |    188 |      14 |     5161 |        0   |        0   |     715 |       0 |       0 |       0 |       0 |     189    |     0    |
       0  |    189 |      11 |     5170 |        0   |        0   |     716 |       0 |       0 |       0 |       0 |     190    |     0    |
       0  |    190 |      16 |     5182 |        0   |        0   |     719 |       0 |       0 |       0 |       0 |     191    |     0    |
       0  |    191 |      44 |     5218 |        0   |        0   |     726 |       0 |       0 |       0 |       0 |     192    |     0    |
       0  |    192 |      14 |     5230 |        0   |        0   |     727 |       0 |       0 |       0 |       0 |     193    |     0    |
       0  |    193 |      41 |     5269 |        0   |        0   |     728 |       0 |       0 |       0 |       0 |     194    |     0    |
       0  |    194 |      55 |     5314 |        0   |        0   |     737 |       0 |       0 |       0 |       0 |     195    |     0    |
       0  |    195 |      41 |     5353 |        0   |        0   |     738 |       0 |       0 |       0 |       0 |     196    |     0    |
       0  |    196 |      58 |     5407 |        0   |        0   |     741 |       0 |       0 |       0 |       0 |     197    |     0    |
       0  |    197 |      52 |     5455 |        0   |        0   |     744 |       0 |       0 |       0 |       0 |     198    |     0    |
       0  |    198 |      46 |     5497 |        0   |        0   |     747 |       0 |       0 |       0 |       0 |     199    |     0    |
       0  |    199 |      22 |     5515 |        0   |        0   |     750 |       0 |       0 |       0 |       0 |     200    |     0    |
       0  |    200 |      14 |     5527 |        0   |        0   |     751 |       0 |       0 |       0 |       0 |     201    |     0    |
       0  |    201 |      16 |     5539 |        0   |        0   |     754 |       0 |       0 |       0 |       0 |     202    |     0    |
       0  |    202 |      58 |     5593 |        0   |        0   |     757 |       0 |       0 |       0 |       0 |     203    |     0    |
       0  |    203 |      55 |     5644 |        0   |        0   |     760 |       0 |       0 |       0 |       0 |     204    |     0    |
       0  |    204 |      15 |     5653 |        0   |        0   |     765 |       0 |       0 |       0 |       0 |     205    |     0    |
       0  |    205 |      16 |     5665 |        0   |        0   |     768 |       0 |       0 |       0 |       0 |     206    |     0    |
       0  |    206 |      13 |     5674 |        0   |        0   |     771 |       0 |       0 |       0 |       0 |     207    |     0    |
       0  |    207 |      23 |     5689 |        0   |        0   |     778 |       0 |       0 |       0 |       0 |     208    |     0    |
       0  |    208 |      14 |     5701 |        0   |        0   |     779 |       0 |       0 |       0 |       0 |     209    |     0    |
       0  |    209 |      14 |     5713 |        0   |        0   |     780 |       0 |       0 |       0 |       0 |     210    |     0    |
       0  |    210 |      16 |     5725 |        0   |        0   |     783 |       0 |       0 |       0 |       0 |     211    |     0    |
       0  |    211 |      55 |     5776 |        0   |        0   |     786 |       0 |       0 |       0 |       0 |     212    |     0    |
       0  |    212 |      54 |     5824 |        0   |        0   |     791 |       0 |       0 |       0 |       0 |     213    |     0    |
       0  |    213 |      11 |     5833 |        0   |        0   |     792 |       0 |       0 |       0 |       0 |     214    |     0    |
       0  |    214 |      59 |     5890 |        0   |        0   |     793 |       0 |       0 |       0 |       0 |     215    |     0    |
       0  |    215 |      37 |     5923 |        0   |        0   |     796 |       0 |       0 |       0 |       0 |     216    |     0    |
       0  |    216 |      22 |     5941 |        0   |        0   |     799 |       0 |       0 |       0 |       0 |     217    |     0    |
       0  |    217 |      55 |     5992 |        0   |        0   |     802 |       0 |       0 |       0 |       0 |     218    |     0    |
       0  |    218 |      53 |     6037 |        0   |        0   |     809 |       0 |       0 |       0 |       0 |     219    |     0    |
       0  |    219 |      56 |     6091 |        0   |        0   |     810 |       0 |       0 |       0 |       0 |     220    |     0    |
       0  |    220 |      58 |     6145 |        0   |        0   |     813 |       0 |       0 |       0 |       0 |     221    |     0    |
       0  |    221 |      53 |     6196 |        0   |        0   |     814 |       0 |       0 |       0 |       0 |     222    |     0    |
       0  |    222 |      59 |     6253 |        0   |        0   |     815 |       0 |       0 |       0 |       0 |     223    |     0    |
       0  |    223 |      58 |     6307 |        0   |        0   |     818 |       0 |       0 |       0 |       0 |     224    |     0    |
       0  |    224 |      16 |     6319 |        0   |        0   |     821 |       0 |       0 |       0 |       0 |     225    |     0    |
       0  |    225 |      13 |     6328 |        0   |        0   |     824 |       0 |       0 |       0 |       0 |     226    |     0    |
       0  |    226 |      19 |     6343 |        0   |        0   |     827 |       0 |       0 |       0 |       0 |     227    |     0    |
       0  |    227 |      13 |     6352 |        0   |        0   |     830 |       0 |       0 |       0 |       0 |     228    |     0    |
       0  |    228 |       8 |     6358 |        0   |        0   |     831 |       0 |       0 |       0 |       0 |     229    |     0    |
       0  |    229 |      23 |     6373 |        0   |        0   |     838 |       0 |       0 |       0 |       0 |     230    |     0    |
       0  |    230 |      13 |     6382 |        0   |        0   |     841 |       0 |       0 |       0 |       0 |     231    |     0    |
       0  |    231 |      22 |     6394 |        0   |        0   |     850 |       0 |       0 |       0 |       0 |     232    |     0    |
       0  |    232 |      10 |     6403 |        0   |        0   |     850 |       0 |       0 |       0 |       0 |     233    |     0    |
       0  |    233 |      44 |     6439 |        0   |        0   |     857 |       0 |       0 |       0 |       0 |     234    |     0    |
       0  |    234 |      25 |     6454 |        0   |        0   |     866 |       0 |       0 |       0 |       0 |     235    |     0    |
       0  |    235 |      46 |     6496 |        0   |        0   |     869 |       0 |       0 |       0 |       0 |     236    |     0    |
       0  |    236 |      20 |     6508 |        0   |        0   |     876 |       0 |       0 |       0 |       0 |     237    |     0    |
       0  |    237 |      50 |     6556 |        0   |        0   |     877 |       0 |       0 |       0 |       0 |     238    |     0    |
       0  |    238 |      17 |     6571 |        0   |        0   |     878 |       0 |       0 |       0 |       0 |     239    |     0    |
       0  |    239 |      59 |     6628 |        0   |        0   |     879 |       0 |       0 |       0 |       0 |     240    |     0    |
       0  |    240 |      55 |     6679 |        0   |        0   |     882 |       0 |       0 |       0 |       0 |     241    |     0    |
       0  |    241 |      61 |     6736 |        0   |        0   |     885 |       0 |       0 |       0 |       0 |     242    |     0    |
       0  |    242 |      58 |     6790 |        0   |        0   |     888 |       0 |       0 |       0 |       0 |     243    |     0    |
       0  |    243 |      16 |     6802 |        0   |        0   |     891 |       0 |       0 |       0 |       0 |     244    |     0    |
       0  |    244 |       8 |     6808 |        0   |        0   |     892 |       0 |       0 |       0 |       0 |     245    |     0    |
       0  |    245 |       8 |     6814 |        0   |        0   |     893 |       0 |       0 |       0 |       0 |     246    |     0    |
       0  |    246 |       8 |     6820 |        0   |        0   |     894 |       0 |       0 |       0 |       0 |     247    |     0    |
       0  |    247 |       8 |     6826 |        0   |        0   |     895 |       0 |       0 |       0 |       0 |     248    |     0    |
       0  |    248 |      32 |     6856 |        0   |        0   |     896 |       0 |       0 |       0 |       0 |     249    |     0    |
       0  |    249 |      14 |     6868 |        0   |        0   |     897 |       0 |       0 |       0 |       0 |     250    |     0    |
       0  |    250 |      10 |     6874 |        0   |        0   |     900 |       0 |       0 |       0 |       0 |     251    |     0    |
       0  |    251 |      35 |     6907 |        0   |        0   |     901 |       0 |       0 |       0 |       0 |     252    |     0    |
       0  |    252 |      41 |     6946 |        0   |        0   |     902 |       0 |       0 |       0 |       0 |     253    |     0    |
